"venue","update date","vintage","size","price","wine name"
"Green Acres","2023-11-02","2019","1500","85","Coteaux Bourguignons "Gamay Fin", Domaine Boris Champy, Burgundy, France, €"
"Green Acres","2023-11-02","2019","1500","85","Rioja Vinas Jovenas, Miguel Merino, Rioja Alta, Spain, €"
"Green Acres","2023-11-02","2016","1500","85","Valpolicella Ripasso, Speri, Veneto, Italy, €"
"Green Acres","2023-11-02","2016","1500","100","Chateau Pindefleurs, Saint-Emilion Grand Cru, Bordeaux, France, €"
"Green Acres","2023-11-02","2018","1500","110","Rosso Di Montalcino, Le Ragnaie, Tuscany, Italy, €"
"Green Acres","2023-11-02","2015","1500","120","Vino Nobile Di Montepulciano "Mulinvecchio", Contucci, Tuscany, Italy, €"
"Green Acres","2023-11-02","2016","1500","125","Rioja Reserva, Miguel Merino, Rioja Alta, Spain, €"
"Green Acres","2023-11-02","2019","1500","130","La Dame D'Angludet, Margaux, Bordeaux, France, €"
"Green Acres","2023-11-02","2020","1500","160","Chassagne-Montrachet (Rouge), Marc Morey, Burgundy, France, €"
"Green Acres","2023-11-02","2016","1500","230","Brunello Di Montalcino, Le Ragnaie, Tuscany, Italy, €"
"Green Acres","2023-11-02","2020","-","45","Chablis, Domaine Pinson, €"
"Green Acres","2023-11-02","2019","-","75","Chablis 1Er Cru "La Foret", Domaine Pinson, €"
"Green Acres","2023-11-02","2019","-","120","Chablis Grand Cru "Les Clos", Domaine Pinson, €"
"Green Acres","2023-11-02","2018","-","58","Bourgogne Aligote, Domaine Benoit Ente, €"
"Green Acres","2023-11-02","2018","-","60","Monthelie "Les Duresses", Benjamin Leroux, €"
"Green Acres","2023-11-02","2017","-","63","Marsannay Blanc "Sources Des Roches", Bruno Clair, €"
"Green Acres","2023-11-02","2018","-","65","Bourgogne Blanc, Marc Morey, €"
"Green Acres","2023-11-02","2012","-","65","Saint Romain “Sous Le Chateau”, Hubert Lignier, €"
"Green Acres","2023-11-02","2017","-","68","Bourgogne Blanc, Domaine Antoine Jobard, €"
"Green Acres","2023-11-02","2020","-","65","Rully, Domaine Marc Morey, €"
"Green Acres","2023-11-02","2013","-","70","Hautes Cotes De Nuits ‘Cuvee Marine’, Anne Gros, €"
"Green Acres","2023-11-02","2018","-","80","Pernand-Vergelesses, Domaine Bruno Clair, €"
"Green Acres","2023-11-02","2018","-","110","Meursault "Les Vireuils", Benjamin Leroux, €"
"Green Acres","2023-11-02","2019","-","125","Chassagne-Montrachet 1Er Cru "Les Caillerets", Jean-Marc Pillot, €"
"Green Acres","2023-11-02","2017","-","125","Saint-Aubin 1Er Cru, "Sur Le Sentier Du Clou", Antoine Jobard, €"
"Green Acres","2023-11-02","2018","-","140","Chassagne-Montrachet, Benoit Ente, €"
"Green Acres","2023-11-02","2018","-","175","Puligny-Montrachet 1Er Cru "Hameau De Blagny, Comtesse De Cherisey, €"
"Green Acres","2023-11-02","2017","-","250","Corton Charlemagne Grand Cru, Bruno Clair, €"
"Green Acres","2023-11-02","2018","-","265","Meursault 1Er Cru "Poruzot", Domaine Henri Boillot, €"
"Green Acres","2023-11-02","2018","-","55","Macon-Verze, Jules Dejourneys, €"
"Green Acres","2023-11-02","2019","-","65","Macon-Bussieres "Le Monsard", Les Heritiers Du Comte Lafon, €"
"Green Acres","2023-11-02","2018","-","65","Saint-Veran, Les Heritiers Du Comte Lafon, €"
"Green Acres","2023-11-02","2018","-","95","Pouilly-Fuisse, Jules Desjourneys, €"
"Green Acres","2023-11-02","2016","-","39","Chateau Grand Village, Bordeaux, €"
"Green Acres","2023-11-02","2016","-","45","Chateau Picque-Caillou, Pessac-Leognan, €"
"Green Acres","2023-11-02","2016","-","55","Clos Floridene, Graves, €"
"Green Acres","2023-11-02","2018","-","120","Les Champs Libres, Bordeaux (Jaques Guinaudeau, Lafleur), €"
"Green Acres","2023-11-02","2020","-","55","Saint-Peray "Les Pins", Domaine Bernard Gripa, €"
"Green Acres","2023-11-02","2020","-","55","Viognier "Le Pied De Samson", Domaine Georges Vernay, Northern Rhone, France, €"
"Green Acres","2023-11-02","2019","-","65","Saint-Peray "Les Figuieres", Domaine Bernard Gripa, €"
"Green Acres","2023-11-02","2015","-","98","Chateauneuf Du Pape Blanc, Clos Des Papes, €"
"Green Acres","2023-11-02","2018","-","110","Condrieu ‘Les Terrasses De L’Empire’, Georges Vernay, €"
"Green Acres","2023-11-02","2020","-","35","Quincy "Les Sablous", Fournier Pere Et Fils, €"
"Green Acres","2023-11-02","2021","-","44","Pouilly Fume, J.C. Dagueneau, €"
"Green Acres","2023-11-02","2021","-","45","Sancerre, Domaine De Saint Romble, €"
"Green Acres","2023-11-02","2019","-","55","Saumur "Les Perruchets", Dominique Joseph, €"
"Green Acres","2023-11-02","2021","-","56","Sancerre "Silex", Fournier Pere Et Fils, €"
"Green Acres","2023-11-02","2018","-","30","Sylvaner, Trimbach, €"
"Green Acres","2023-11-02","2017","-","39","Pinot Gris "Reserve", Trimbach, €"
"Green Acres","2023-11-02","2016","-","45","Riesling "Vieilles Vignes", Trimbach, €"
"Green Acres","2023-11-02","2016","-","45","Gewurztraminer Reserve, Trimbach, €"
"Green Acres","2023-11-02","2007","-","75","Pinot Gris "Reserve Personnelle", Trimbach, €"
"Green Acres","2023-11-02","2014","-","85","Riesling ‘Cuvee Frederic Emile’, Trimbach, €"
"Green Acres","2023-11-02","2016","-","250","Riesling "Clos St Hune", Trimbach, €"
"Green Acres","2023-11-02","2021","-","30","Domaine De Pellehaut Chardonnay, Cotes Du Gascogne, €"
"Green Acres","2023-11-02","2018","-","38","Puech Noble Blanc, (Viognier, Vermentino) Domaine Rostaing, Languedoc, €"
"Green Acres","2023-11-02","2019","-","55","Chardonnay "La Chaux", Domaine De Montbourgeau, Jura, €"
"Green Acres","2023-11-02","2019","-","65","Savagnin "Les Budes", Domaine De Montbourgeau, Jura, €"
"Green Acres","2023-11-02","2021","-","39","Soave, Corte Sant'Alda, Veneto, €"
"Green Acres","2023-11-02","2020","-","39","Gruner Veltliner, Pacher Hof, Alto Adige, €"
"Green Acres","2023-11-02","2021","-","40","Arneis "Montebestotto", Castello Di Neive, Langhe, Italy, €"
"Green Acres","2023-11-02","2021","-","46","Kerner, Pacher Hof, Alto Adige, €"
"Green Acres","2023-11-02","2020","-","46","Pinot Grigio, Pacher Hof, Alto Adige, €"
